;ecocyc_id;synonyms;products;n_prods;ko_obs;url;uniprot;class
b0399;EG10728;phoB phoRc phoT;PHOSPHO-PHOB PHOB-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10728;;repressor
b2839;EG10551;lysR;PD00360;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10551;P03030;repressor
b0460;EG10439;hha;EG10439-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10439;P0ACE3;cell killing
b4292;EG10292;fecR;EG10292-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10292;P23485;Fe aquisition
b3723;EG10116;bglG bglC;EG10116-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10116;P11989;operon
b4264;G7891;idnR gntS? gntH yjgS;G7891-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7891;P39343;repressor
b3010;G7563;yqhC;G7563-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7563;Q46855;
b1526;G6812;yneJ;G6812-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6812;P77309;
b1040;G6546;csgD;PD01379;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6546;P52106;
b0346;G6201;mhpR;G6201-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6201;P77569;operon
