,flux
12DGR120tipp,0.0
12DGR140tipp,0.0
12DGR141tipp,0.0
12DGR160tipp,0.0
12DGR161tipp,0.0
12DGR180tipp,0.0
12DGR181tipp,0.0
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
13PPDH2,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23DOGULNt4pp,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,0.0
2AGPA141tipp,0.0
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,0.0
2AGPA181tipp,0.0
2AGPE120tipp,0.0
2AGPE140tipp,0.0
2AGPE141tipp,0.0
2AGPE160tipp,0.0
2AGPE161tipp,0.0
2AGPE180tipp,0.0
2AGPE181tipp,0.0
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.0
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,0.0
2AGPG140tipp,0.0
2AGPG141tipp,0.0
2AGPG160tipp,0.0
2AGPG161tipp,0.0
2AGPG180tipp,0.0
2AGPG181tipp,0.0
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,0.0
2AGPGAT161,0.0
2AGPGAT180,0.0
2AGPGAT181,0.0
2DDARAA,0.0
2DGLCptspp,0.0
2DGLCtex,0.0
2DGULRGx,0.0
2DGULRGy,0.0
2DGULRx,0.0
2DGULRy,0.0
2DOXG6PP,0.0
2HESR,0.0
2HPTCOAT,0.0
2MAHMP,0.0
34dhpactex,0.0
3AMACHYD,0.0
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD100,0.0
3HAD120,0.0
3HAD121,0.0
3HAD140,0.0
3HAD141,0.0
3HAD160,0.0
3HAD161,0.0
3HAD180,0.0
3HAD181,0.0
3HAD40,0.0
3HAD60,0.0
3HAD80,0.0
3HBZCT,0.0
3HCINNMH,0.0
3HPADHi,0.0
3HPPPNH,0.0
3HPPtex,0.0
3HPPtpp,0.0
3KGK,0.0
3NTD2pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,0.0
3OAR100,0.0
3OAR120,0.0
3OAR121,0.0
3OAR140,0.07832414727241484
3OAR141,0.0
3OAR160,0.0
3OAR161,0.0
3OAR180,0.0
3OAR181,0.0
3OAR40,0.0
3OAR60,0.0
3OAR80,0.0
3OAS100,0.0
3OAS120,0.0
3OAS121,0.0
3OAS140,0.07832414727241484
3OAS141,0.0
3OAS160,0.0
3OAS161,0.0
3OAS180,0.0
3OAS181,0.0
3OAS60,0.0
3OAS80,0.0
3OXCOAT,0.0
3PEPTabcpp,0.0
3PEPTtex,0.0
3SLAR,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4ABZGLUH,0.0
4ABZGLUtex,0.0
4ABZGLUtr,0.0
4HBZt3pp,0.0
4HOXPACDtex,0.0
4HTHRA,-0.0021428395094770574
4HTHRK,0.0021428395094770574
4PCP,0.0
4PCPpp,0.0
4PEPTabcpp,0.0
4PEPTtex,0.0
5DGLCNR,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
5DKGR,0.0
5DOAN,0.0005549281689341129
5MTRtex,-0.01620101978914138
5MTRtpp,0.01620101978914138
6D6SFK,0.0
6D6SPA,0.0
A5PISO,0.05874311045431113
AACPS1,0.01958103681810371
AACPS2,0.0
AACPS3,0.2914021504244407
AACPS4,0.22665092156967837
AACPS5,0.11681358070385363
AACPS6,0.0
AACPS7,0.09790518409051854
AACPS8,0.0
AACPS9,0.0
AACTOOR,0.0
AADDGT,0.0
AAMYL,0.0
AAMYLpp,0.0
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
ABUTt2pp,0.0
ABUTtex,0.0
ACACCT,0.0
ACACDCBX,0.0
ACACT1r,11.89115056803376
ACACT2r,11.89115056803376
ACACT3r,0.7523600804659318
ACACT4r,0.752352873606595
ACACT5r,0.752352873606595
ACACT6r,0.6544476895160765
ACACT7r,0.6348666526979727
ACACT8r,-0.11681358070385363
ACACt2pp,0.0
ACACtex,0.0
ACALD,0.0
ACALDtex,0.0
ACALDtpp,0.0
ACANTHAT,0.0
ACBIPGT,0.0
ACCOAC,0.07841303187090212
ACCOAL,0.0
ACGAL1PPpp,0.0
ACGAL1Ptex,0.0
ACGALtex,0.0
ACGAM1PPpp,0.0
ACGAM1Ptex,0.0
ACGAMK,0.0
ACGAMT,0.0
ACGAptspp,0.0
ACGAtex,0.0
ACGK,0.7865902600293178
ACGS,0.7865902600293178
ACHBS,0.6781798773121808
ACKr,-177.26743981760148
ACLS,2.040833622424011
ACM6PH,0.0
ACMAMUT,0.0
ACMANAptspp,0.0
ACMANAtex,0.0
ACMUMptspp,0.0
ACMUMtex,0.0
ACNAMt2pp,0.0
ACNAMtex,0.0
ACNML,0.0
ACOAD1f,0.0
ACOAD1fr,11.89115056803376
ACOAD2f,-11.89115056803376
ACOAD3f,-0.7523600804659318
ACOAD4f,-0.752352873606595
ACOAD5f,-0.752352873606595
ACOAD6f,-0.6544476895160765
ACOAD7f,-0.40821573112829435
ACOAD8f,0.0
ACOATA,0.0
ACODA,0.7865902600293178
ACOLIPAabctex,0.0
ACONIs,0.0
ACONMT,0.0
ACONTa,2.614038386636275
ACONTb,2.614038386636275
ACOTA,-0.7865902600293178
ACOXT,0.0
ACP1_FMN,0.0
ACP1p,0.0
ACPPAT120,0.0
ACPPAT140,0.0
ACPPAT141,0.0
ACPPAT160,0.0
ACPPAT161,0.0
ACPPAT180,0.0
ACPPAT181,0.0
ACPS1,0.0
ACS,0.0
ACSERtex,0.0
ACSERtpp,0.0
ACt2rpp,-178.6993971243825
ACt4pp,0.011896122478622201
ACtex,-178.68750100190388
ADA,0.0
ADCL,0.0021428395094770574
ADCS,0.0021428395094770574
ADD,0.0
ADEt2rpp,0.0
ADEtex,0.0
ADK1,6.1083201703838395
ADK3,0.0
ADK4,0.0
ADMDC,0.01620101978914138
ADNCYC,0.0
ADNK1,0.019975011795182473
ADNUC,0.0
ADNt2pp_copy1,0.0
ADNt2pp_copy2,0.0
ADNtex,0.0
ADOCBIK,0.0
ADOCBLS,0.0
ADOCBLabcpp,0.0
ADOCBLtonex,0.0
ADPRDP,0.0
ADPT,0.0
ADSK,0.594308850636861
ADSL1r,0.7096041863071583
ADSL2r,1.0556199167859202
ADSS,0.7096041863071583
AGDC,0.0
AGM3PA,0.0
AGM3PApp,0.0
AGM3PH,0.0
AGM3Pt2pp,0.0
AGM4PA,0.0
AGM4PApp,0.0
AGM4PCP,0.0
AGM4PCPpp,0.0
AGM4PH,0.0
AGM4Pt2pp,0.0
AGMH,0.0
AGMHE,0.07832414727241484
AGMT,0.0
AGMt2pp,0.0
AGMtex,0.0
AGPAT120,0.0
AGPAT140,0.0
AGPAT141,0.0
AGPAT160,0.14570107521222034
AGPAT161,0.11332546078483918
AGPAT180,0.0
AGPAT181,0.058406790351926814
AGPR,-0.7865902600293178
AGt3,0.0
AHCYSNS,0.0032190638371069774
AHGDx,0.0
AI2K,0.0032190638371069774
AI2abcpp,0.0
AI2tex,0.0
AI2tpp,0.0
AICART,1.2767647978222783
AIRC2,1.0556199167859202
AIRC3,-1.0556199167859202
AKGDH,0.0
AKGt2rpp,0.0
AKGtex,0.0
ALAALAD,0.0
ALAALAabcpp,0.00791553383825932
ALAALAr,0.05833231947211314
ALAALAtex,0.0
ALAGLUE,0.0
ALAR,0.058332319472113134
ALATA_D2,0.0
ALATA_L,-1.3205584797255518
ALATA_L2,0.0
ALAabcpp,0.0
ALAt2pp,0.0
ALAt4pp,0.0
ALAtex,0.0
ALAtpp,0.0
ALCD19,0.0
ALCD2x,0.0
ALDD19xr,0.0
ALDD2y,0.0
ALDD3y,0.0
ALDD4,0.0
ALKP,0.0
ALLK,0.0
ALLPI,0.0
ALLTAMH2,0.0
ALLTN,0.0
ALLTNt2rpp,0.0
ALLTNtex,0.0
ALLULPE,0.0
ALLabcpp,0.0
ALLtex,0.0
ALPATE160pp,0.0
ALPATG160pp,0.0
ALR2,0.0
ALR2x,0.0
ALR4x,0.0
ALTRH,0.0
AM3PA,0.0
AM4PA,0.0
AM4PCP,0.0
AMALT1,0.0
AMALT2,0.0
AMALT3,0.0
AMALT4,-4.736951571734001e-15
AMANAPEr,0.0
AMANK,0.0
AMAOTr,4.804572891204443e-06
AMMQLT8,0.0005357098773692954
AMPMS2,0.0005357098773692954
AMPN,0.0
AMPNTAT,0.0
AMPTASECG,0.0
AMPTASEPG,0.0
AMPtex,0.0
ANHGMtex,0.0
ANHMK,0.0
ANPRT,0.1326878895363931
ANS,0.1326878895363931
AOBUTDs,0.0
AOXSr2,4.804572891204443e-06
AP4AH,0.0
AP4AS,0.0
AP5AH,0.0
APCS,0.0
APG3PAT120,0.0
APG3PAT140,0.0
APG3PAT141,0.0
APG3PAT160,0.0
APG3PAT161,0.0
APG3PAT180,0.0
APG3PAT181,0.0
APH120,0.0
APH140,0.0
APH141,0.0
APH160,0.0
APH161,0.0
APH180,0.0
APH181,0.0
APPLDHr,0.0
APRAUR,0.0010714197547389956
ARABDI,0.0
ARAI,0.0
ARBTNR1,0.0
ARBTNR2,0.0
ARBTNR3,0.0
ARBTNabcpp,0.0
ARBTNexs,0.0
ARBTNtex,0.0
ARBTNtonex,0.0
ARBTNtpp,0.0
ARBTptspp,0.0
ARBTtex,0.0
ARBabcpp,0.0
ARBt2rpp,0.0
ARBt3ipp,0.0
ARBtex,0.0
ARGAGMt7pp,0.0
ARGDC,0.0
ARGDCpp,0.0
ARGORNt7pp,0.0
ARGSL,0.6904651701949905
ARGSS,0.6904651701949905
ARGabcpp,0.0
ARGt3pp,0.0
ARGtex,0.0
ARHGDx,0.0
ARMEPNS,0.0
ASAD,-2.5131327467751996
ASCBPL,0.0
ASCBptspp,0.0
ASCBtex,0.0
ASNN,0.0
ASNNpp,0.0
ASNS1,0.0
ASNS2,0.5626923587262995
ASNt2rpp,0.0
ASNtex,0.0
ASO3t8pp,0.0
ASO3tex,0.0
ASP1DC,0.001383716992657713
ASPCT,0.7695100034010859
ASPK,2.5131327467751996
ASPO3,0.0
ASPO4,0.0
ASPO5,0.005474810809569833
ASPO6,0.0
ASPT,0.0
ASPTA,-6.870575268719181
ASPabcpp,0.0
ASPt2_2pp,0.0
ASPt2_3pp,0.0
ASPt2pp,0.0
ASPtex,0.0
ASPtpp,0.0
ASR,0.0
AST,0.0
ATHRDHr,0.0
ATPHs,0.0
ATPM,6.86
ATPPRT,0.2211448810363581
ATPS4rpp,-29.75311730607753
BALAt2pp,0.0
BALAtex,0.0
BETALDHx,0.0
BETALDHy,0.0
BGLA1,0.0
BIOMASS_Ec_iML1515_WT_75p37M,2.4022864456022215
BIOMASS_Ec_iML1515_core_75p37M,0.0
BMOCOS,0.0
BMOGDS1,0.0
BMOGDS2,0.0
BPNT,0.594308850636861
BSORx,0.0
BSORy,0.0
BTNt2ipp,0.0
BTNtex,0.0
BTS5,4.804572891204443e-06
BUTCT,0.0
BUTSO3abcpp,0.0
BUTSO3tex,0.0
BUTt2rpp,0.0
BUTtex,0.0
BWCOGDS1,0.0
BWCOGDS2,0.0
BWCOS,0.0
CA2t3pp,0.0
CA2tex,0.011896122478622201
CADVtpp,0.0
CAT,0.0
CAt6pp,-0.011896122478622201
CBIAT,0.0
CBItonex,0.0
CBIuabcpp,0.0
CBL1abcpp,0.0005357098773692954
CBL1tonex,0.0005357098773692954
CBLAT,0.0005357098773692954
CBMD,0.0
CBMKr,1.4599751735960764
CBPS,0.0
CCGS,0.0
CD2abcpp,0.0
CD2t3pp,0.0
CD2tex,0.0
CD2tpp,0.0
CDAPPA120,0.0
CDAPPA140,0.0
