,flux
12DGR120tipp,-1.5407439555097887e-33
12DGR140tipp,0.0
12DGR141tipp,0.0
12DGR160tipp,0.0
12DGR161tipp,1.7367461585346887e-18
12DGR180tipp,0.0
12DGR181tipp,0.0
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
13PPDH2,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23DOGULNt4pp,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,4.407390466460293e-19
2AGPA141tipp,0.0
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,0.0
2AGPA181tipp,0.0
2AGPE120tipp,1.0111132208032988e-33
2AGPE140tipp,0.0
2AGPE141tipp,0.0
2AGPE160tipp,-1.0366022769844352e-18
2AGPE161tipp,0.0
2AGPE180tipp,1.036602276984436e-18
2AGPE181tipp,0.0
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.0
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,0.0
2AGPG140tipp,-4.407390466460293e-19
2AGPG141tipp,0.0
2AGPG160tipp,1.0366022769844352e-18
2AGPG161tipp,-3.4734923170693805e-18
2AGPG180tipp,0.0
2AGPG181tipp,-1.5512418369237688e-19
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,0.0
2AGPGAT161,-3.4734923170693805e-18
2AGPGAT180,-3.653032552193052e-18
2AGPGAT181,-7.756209184618844e-20
2DDARAA,0.0
2DGLCptspp,0.0
2DGLCtex,0.0
2DGULRGx,0.0
2DGULRGy,0.0
2DGULRx,0.0
2DGULRy,0.0
2DOXG6PP,0.0
2HESR,0.0
2HPTCOAT,0.0
2MAHMP,0.0
34dhpactex,0.0
3AMACHYD,0.0
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD100,0.0
3HAD120,0.0
3HAD121,0.0
3HAD140,0.0
3HAD141,0.0
3HAD160,0.0
3HAD161,0.0
3HAD180,0.0
3HAD181,0.0
3HAD40,0.0
3HAD60,0.0
3HAD80,0.0
3HBZCT,0.0
3HCINNMH,0.0
3HPADHi,0.0
3HPPPNH,0.0
3HPPtex,0.0
3HPPtpp,0.0
3KGK,0.0
3NTD2pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,0.0
3OAR100,0.0
3OAR120,0.0
3OAR121,0.0
3OAR140,0.0
3OAR141,0.0
3OAR160,0.0
3OAR161,0.0
3OAR180,0.0
3OAR181,0.0
3OAR40,0.0
3OAR60,0.0
3OAR80,0.0
3OAS100,0.0
3OAS120,0.0
3OAS121,0.0
3OAS140,0.0
3OAS141,0.0
3OAS160,0.0
3OAS161,0.0
3OAS180,0.0
3OAS181,0.0
3OAS60,0.0
3OAS80,0.0
3OXCOAT,1.966296092349537e-32
3PEPTabcpp,0.0
3PEPTtex,0.0
3SLAR,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4ABZGLUH,0.0
4ABZGLUtex,0.0
4ABZGLUtr,0.0
4HBZt3pp,0.0
4HOXPACDtex,0.0
4HTHRA,0.0
4HTHRK,0.0
4PCP,-6.472778958518136e-19
4PCPpp,0.0
4PEPTabcpp,6.162975822039155e-33
4PEPTtex,6.162975822039155e-33
5DGLCNR,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
5DKGR,0.0
5DOAN,-5.234179598032647e-21
5MTRtex,0.0
5MTRtpp,0.0
6D6SFK,0.0
6D6SPA,0.0
A5PISO,0.0
AACPS1,0.0
AACPS2,0.0
AACPS3,0.0
AACPS4,0.0
AACPS5,0.0
AACPS6,0.0
AACPS7,0.0
AACPS8,0.0
AACPS9,0.0
AACTOOR,0.0
AADDGT,0.0
AAMYL,0.0
AAMYLpp,0.0
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
ABUTt2pp,0.0
ABUTtex,0.0
ACACCT,0.0
ACACDCBX,0.0
ACACT1r,-3.320094597089302e-18
ACACT2r,-3.3200945970893026e-18
ACACT3r,-3.3200945970893026e-18
ACACT4r,0.0
ACACT5r,6.946984634138758e-18
ACACT6r,6.946984634138761e-18
ACACT7r,6.946984634138761e-18
ACACT8r,0.0
ACACt2pp,0.0
ACACtex,0.0
ACALD,0.0
ACALDtex,0.0
ACALDtpp,0.0
ACANTHAT,0.0
ACBIPGT,0.0
ACCOAC,7.276213790987567e-22
ACCOAL,0.0
ACGAL1PPpp,0.0
ACGAL1Ptex,0.0
ACGALtex,0.0
ACGAM1PPpp,6.01853107621011e-34
ACGAM1Ptex,-5.946308703295591e-33
ACGAMK,-6.472778958518197e-19
ACGAMT,0.0
ACGAptspp,6.01853107621011e-34
ACGAtex,0.0
ACGK,0.0
ACGS,0.0
ACHBS,0.0
ACKr,-1.2472727272727278
ACLS,0.0
ACM6PH,-6.472778958518197e-19
ACMAMUT,0.0
ACMANAptspp,0.0
ACMANAtex,0.0
ACMUMptspp,0.0
ACMUMtex,0.0
ACNAMt2pp,0.0
ACNAMtex,0.0
ACNML,0.0
ACOAD1f,3.320094597089302e-18
ACOAD1fr,0.0
ACOAD2f,3.3200945970893026e-18
ACOAD3f,3.3200945970893026e-18
ACOAD4f,0.0
ACOAD5f,-6.946984634138758e-18
ACOAD6f,-6.946984634138761e-18
ACOAD7f,0.0
ACOAD8f,0.0
ACOATA,0.0
ACODA,0.0
ACOLIPAabctex,0.0
ACONIs,0.0
ACONMT,0.0
ACONTa,0.0
ACONTb,0.0
ACOTA,0.0
ACOXT,0.0
ACP1_FMN,0.0
ACP1p,0.0
ACPPAT120,0.0
ACPPAT140,0.0
ACPPAT141,0.0
ACPPAT160,0.0
ACPPAT161,0.0
ACPPAT180,0.0
ACPPAT181,0.0
ACPS1,0.0
ACS,0.0
ACSERtex,0.0
ACSERtpp,0.0
ACt2rpp,-1.2472727272727278
ACt4pp,0.0
ACtex,-1.2472727272727278
ADA,0.0
ADCL,0.0
ADCS,0.0
ADD,-2.1860374883669825e-18
ADEt2rpp,0.0
ADEtex,0.0
ADK1,0.0
ADK3,0.0
ADK4,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,0.0
